Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,89020,-,-,-,34.61,-120.22,-8,163,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Temperature,Pressure,
2018,1,1,0,30,0,0,8.1,0.11,1.1,13.700000000000001,1003,N/A
2018,1,1,1,30,0,0,7.800000000000001,0.11,1.5,13.3,1003,N/A
2018,1,1,2,30,0,0,7.2,0.11,1.6,12.8,1003,N/A
2018,1,1,3,30,0,0,6.6000000000000005,0.11,1.6,12.600000000000001,1003,N/A
2018,1,1,4,30,0,0,5.7,0.11,1.7000000000000002,12.5,1003,N/A
2018,1,1,5,30,0,0,4.6000000000000005,0.11,1.8,12.3,1003,N/A
2018,1,1,6,30,0,0,3.6,0.11,1.8,12.5,1003,N/A
2018,1,1,7,30,20,68,2.8000000000000003,0.11,1.8,14,1004,N/A
2018,1,1,8,30,86,204,2.6,0.11,1.6,16.1,1004,N/A
2018,1,1,9,30,124,422,3.7,0.11,1.1,17.900000000000002,1004,N/A
2018,1,1,10,30,107,699,4.800000000000001,0.11,1.4000000000000001,19.1,1004,N/A
2018,1,1,11,30,75,873,6.300000000000001,0.11,2,19.200000000000003,1004,N/A
2018,1,1,12,30,157,582,7.1000000000000005,0.11,2.2,18.900000000000002,1003,N/A
2018,1,1,13,30,197,307,7.1000000000000005,0.11,2.2,18.7,1003,N/A
2018,1,1,14,30,139,385,7.300000000000001,0.11,2.2,18.2,1003,N/A
2018,1,1,15,30,89,296,7.7,0.11,2.2,17.8,1002,N/A
2018,1,1,16,30,30,112,8.3,0.11,2.5,15.700000000000001,1003,N/A
2018,1,1,17,30,0,0,8.8,0.11,2.5,15,1003,N/A
2018,1,1,18,30,0,0,9,0.11,2.2,14.8,1003,N/A
2018,1,1,19,30,0,0,8.9,0.11,1.9000000000000001,14.9,1003,N/A
2018,1,1,20,30,0,0,8.5,0.11,1.6,15.100000000000001,1003,N/A
2018,1,1,21,30,0,0,7.9,0.11,1.5,15.4,1003,N/A
2018,1,1,22,30,0,0,7.5,0.11,1.4000000000000001,15.600000000000001,1003,N/A
2018,1,1,23,30,0,0,7.2,0.11,1.4000000000000001,15.600000000000001,1003,N/A
2018,1,2,0,30,0,0,6.9,0.11,1.3,15.600000000000001,1003,N/A
2018,1,2,1,30,0,0,6.300000000000001,0.11,1.2000000000000002,15.4,1003,N/A
2018,1,2,2,30,0,0,6,0.11,1.2000000000000002,15.200000000000001,1003,N/A
2018,1,2,3,30,0,0,5.5,0.11,1.2000000000000002,15,1003,N/A
2018,1,2,4,30,0,0,5,0.11,1.2000000000000002,15,1003,N/A
2018,1,2,5,30,0,0,4.4,0.11,1,14.9,1003,N/A
2018,1,2,6,30,0,0,4.3,0.11,1,14.9,1003,N/A
2018,1,2,7,30,16,10,4.6000000000000005,0.11,0.9,15.3,1004,N/A
2018,1,2,8,30,85,29,5.2,0.11,1,16.7,1004,N/A
2018,1,2,9,30,150,82,5.7,0.11,1.2000000000000002,18.2,1004,N/A
2018,1,2,10,30,203,219,5.800000000000001,0.11,1.3,19.5,1003,N/A
2018,1,2,11,30,199,31,5.5,0.11,1.4000000000000001,20.400000000000002,1003,N/A
2018,1,2,12,30,187,12,5.2,0.11,1.1,20.700000000000003,1002,N/A
2018,1,2,13,30,182,409,5.1000000000000005,0.11,0.8,20.5,1001,N/A
2018,1,2,14,30,154,281,5.5,0.11,0.6000000000000001,19.8,1001,N/A
2018,1,2,15,30,93,267,6.300000000000001,0.11,0.5,19.3,1001,N/A
2018,1,2,16,30,32,92,6.5,0.11,0.9,17.8,1001,N/A
2018,1,2,17,30,0,0,6.5,0.11,1.1,17.3,1001,N/A
2018,1,2,18,30,0,0,6.6000000000000005,0.11,1.3,17,1001,N/A
2018,1,2,19,30,0,0,6.6000000000000005,0.11,1.4000000000000001,16.7,1001,N/A
2018,1,2,20,30,0,0,6.800000000000001,0.11,1.6,16.5,1001,N/A
2018,1,2,21,30,0,0,7.1000000000000005,0.11,1.5,16.3,1001,N/A
